image_id,r,c,direction_id,direction_seed,gain,stability_score_if_available
cifar10_00000_cat,7,13,0,321,1.0133963823318481,1.4895496368408203
cifar10_00000_cat,30,30,0,321,0.9725980758666992,1.8562601804733276
cifar10_00000_cat,8,1,0,321,0.9612048864364624,1.7586281299591064
cifar10_00000_cat,9,28,0,321,0.9516316056251526,1.479264497756958
cifar10_00000_cat,5,30,0,321,0.9009440541267395,1.126482605934143
cifar10_00000_cat,20,18,0,321,0.9215008616447449,1.6253377199172974
cifar10_00000_cat,13,29,0,321,0.9120614528656006,1.5187125205993652
cifar10_00000_cat,31,27,0,321,0.9185588955879211,1.7235342264175415
cifar10_00000_cat,10,19,0,321,0.9517133235931396,1.4886531829833984
cifar10_00000_cat,1,16,0,321,0.9003474712371826,0.9695744514465332
cifar10_00000_cat,5,10,0,321,0.8548362255096436,1.2895277738571167
cifar10_00000_cat,12,18,0,321,0.8576205372810364,1.66107177734375
cifar10_00000_cat,17,1,0,321,0.906388521194458,1.9096791744232178
cifar10_00000_cat,21,7,0,321,0.9861992597579956,1.5666486024856567
cifar10_00000_cat,7,27,0,321,0.939829409122467,1.3169946670532227
cifar10_00000_cat,12,7,1,322,0.8594897985458374,0.5859197378158569
cifar10_00000_cat,24,18,1,322,0.8872126340866089,1.2304627895355225
cifar10_00000_cat,29,27,1,322,0.811966061592102,1.4461172819137573
cifar10_00000_cat,17,13,1,322,0.8180631399154663,1.3017157316207886
cifar10_00000_cat,21,17,1,322,0.819503664970398,1.4395382404327393
cifar10_00000_cat,13,5,1,322,0.4751424789428711,0.9437720775604248
cifar10_00000_cat,16,16,1,322,0.8506311178207397,1.4362099170684814
cifar10_00000_cat,12,15,1,322,0.8609946966171265,1.3941869735717773
cifar10_00000_cat,30,6,1,322,0.8574908971786499,1.5594303607940674
cifar10_00000_cat,30,3,1,322,0.713894784450531,1.434636116027832
cifar10_00000_cat,11,4,1,322,0.790709376335144,1.2443623542785645
cifar10_00000_cat,0,23,1,322,0.969590425491333,0.8158698081970215
cifar10_00000_cat,16,23,1,322,0.933918833732605,1.3652381896972656
cifar10_00000_cat,12,28,1,322,0.8371056914329529,1.4478089809417725
cifar10_00000_cat,7,4,1,322,0.7088452577590942,0.8686087131500244
cifar10_00000_cat,1,27,1,322,0.8501508235931396,0.6132005453109741
cifar10_00000_cat,22,29,1,322,0.8837337493896484,1.57244074344635
cifar10_00000_cat,29,14,1,322,0.8866873979568481,1.3835794925689697
cifar10_00000_cat,0,28,1,322,0.8523041605949402,0.6968581676483154
cifar10_00000_cat,7,23,1,322,0.939813494682312,1.2331480979919434
cifar10_00000_cat,21,2,1,322,0.9156945943832397,1.488793969154358
cifar10_00000_cat,15,9,1,322,0.7291198968887329,1.3533340692520142
cifar10_00000_cat,7,22,1,322,0.8785278797149658,1.2623908519744873
cifar10_00000_cat,31,18,1,322,0.882057785987854,1.8396780490875244
