epsilon,image_index,class_index,class_name,bit_accuracy,psnr,ssim,lpips
2.0,126,4,deer,100.0,39.06623988884717,0.980735891468405,0.048083964735269547
2.0,127,4,deer,100.0,39.11275865040881,0.979953647892382,0.04956255853176117
2.0,128,4,deer,100.0,36.49668471877763,0.972882422358416,0.04508163407444954
2.0,129,4,deer,100.0,37.86398699831793,0.9824225651397459,0.054222770035266876
2.0,130,4,deer,90.0,37.17206777773996,0.9764644906345247,0.06338529288768768
2.0,131,4,deer,100.0,39.466255416463014,0.9816471440181239,0.04776151478290558
2.0,132,4,deer,100.0,39.97034159491629,0.9808016965411951,0.033465731889009476
2.0,133,4,deer,95.0,40.32814811586889,0.9839339278547315,0.052136197686195374
2.0,134,4,deer,100.0,35.8493288461632,0.9841782162824356,0.042043864727020264
2.0,135,4,deer,95.0,36.20794388487062,0.9716865476457989,0.04262002184987068
2.0,136,4,deer,100.0,39.92512370388283,0.9859486174762924,0.04936949536204338
2.0,137,4,deer,100.0,38.167007837251305,0.9804964617347417,0.056178174912929535
2.0,138,4,deer,90.0,39.671345603762134,0.9831423341475264,0.05333300679922104
2.0,139,4,deer,100.0,38.78770161832418,0.9785443962833132,0.05817491188645363
2.0,140,4,deer,100.0,40.266181044709235,0.9828794731677534,0.042027778923511505
2.0,141,4,deer,100.0,38.87570300735361,0.9768441902339408,0.05240572243928909
2.0,142,4,deer,95.0,40.67038178963577,0.9849393330225343,0.04797503352165222
2.0,143,4,deer,100.0,38.81327555395946,0.9815874515012853,0.055796779692173004
2.0,144,4,deer,100.0,37.75178938537679,0.9769530684240109,0.03163457661867142
2.0,145,4,deer,100.0,38.703057225834186,0.9835334533118251,0.03294846788048744
2.0,146,4,deer,100.0,39.06515280021031,0.983889101548484,0.05174833536148071
2.0,147,4,deer,100.0,37.12325287204251,0.9822093761396395,0.04338129982352257
2.0,148,4,deer,100.0,39.520175303619034,0.9853620095901134,0.045745037496089935
2.0,149,4,deer,95.0,40.02504875447313,0.9841862051505567,0.05157303065061569
2.0,150,5,dog,100.0,39.524745749320054,0.98131983725552,0.03952416032552719
2.0,151,5,dog,100.0,40.327268280272406,0.9765387294559215,0.018263742327690125
2.0,152,5,dog,100.0,38.11296967452077,0.9762587957528766,0.05917082354426384
2.0,153,5,dog,100.0,40.01765750126299,0.9848015026838994,0.05042058229446411
2.0,154,5,dog,100.0,38.347899502520434,0.980404031084818,0.06954352557659149
2.0,155,5,dog,100.0,38.61614993504739,0.9822463149274605,0.04091685637831688
2.0,156,5,dog,100.0,38.39693634272436,0.980538646835773,0.025656692683696747
2.0,157,5,dog,85.0,40.0384935672912,0.9830309178034615,0.03718879818916321
2.0,158,5,dog,100.0,39.199330773830255,0.9824263358503877,0.03584756329655647
2.0,159,5,dog,100.0,38.515460894298236,0.9766163469781537,0.040108028799295425
2.0,160,5,dog,100.0,38.811252023397344,0.9800778303380921,0.04613024741411209
2.0,161,5,dog,100.0,39.22821147022972,0.9820650661855542,0.02562662772834301
2.0,162,5,dog,100.0,40.43106458708767,0.9844704981636374,0.03900112956762314
